STRING ID,en,de,fr,es,it
INTRANET_BEITRAG_1,A camel can drink about 200 liters of water in 15 minutes.,Ein Kamel kann in 15 Minuten etwa 200 Liter Wasser trinken.,,,
INTRANET_BEITRAG_2,"Coconut water is both isotonic and sterile. For this reason, it is used as an infusion instead of saline solution in undeveloped countries.",Das Wasser der Kokosnuss ist sowohl isotonisch als auch steril. Aus diesem Grund wird es in unentwickelten Ländern statt Kochsalzlösung als Infusion verwendet.,,,
INTRANET_BEITRAG_3,"In the history of Mexico, there were once three different presidents in just one day.", In der Geschichte von Mexiko gab es einmal drei unterschiedliche Präsidenten an nur einem Tag.,,,
INTRANET_BEITRAG_4,"There are only two people in total who know the recipe for Coca-Cola, which is why they are not allowed to travel together.","Es gibt insgesamt nur zwei Menschen, die das Rezept für Coca-Cola kennen, weshalb sie nicht gemeinsam reisen dürfen.",,,
INTRANET_BEITRAG_5,"Cats have 32 muscles to move their ears. In comparison, humans only have six muscles in their ears.","Katzen besitzen 32 Muskeln, um ihre Ohren zu bewegen. Der Mensch besitzt zum Vergleich nur sechs Muskeln an seinen Ohren.",,,
INTRANET_BEITRAG_6,"In India, forest workers wear a mask with a human face on the back of the head to avoid being attacked from behind by a tiger.","In Indien tragen Waldarbeiter eine Maske mit einem menschlichen Gesicht auf dem Hinterkopf, um nicht von hinten durch einen Tiger angegriffen zu werden.",,,
INTRANET_BEITRAG_7,The tongue of a blue whale weighs about as much as a small car.,Die Zunge eines Blauwals wiegt etwa so viel wie ein kleines Auto.,,,
INTRANET_BEITRAG_8,The housefly buzzes in the key of F major.,Die Hausfliege summt in der Tonart F-Dur.,,,
INTRANET_BEITRAG_9,Butterflies taste with their feet.,Schmetterlinge schmecken mit ihren Füßen.,,,
INTRANET_BEITRAG_10,"Around 50,000 spiders hide in one hectare of green space.",In einem Hektar Grünfläche verstecken sich rund 50.000 Spinnen.,,,
INTRANET_BEITRAG_11,34 percent of Germans dream about their work at night.,34 Prozent der Deutschen träumen nachts von ihrer Arbeit.,,,
INTRANET_BEITRAG_12,The company Carglass is called Autoglass in England.,Die Firma Carglass heißt in England Autoglass.,,,
INTRANET_BEITRAG_13,The side effects of aspirin include headaches.,Zu den Nebenwirkungen von Aspirin gehören Kopfschmerzen.,,,
INTRANET_BEITRAG_14,Justin Bieber likes the music of Helene Fischer.,Justin Bieber steht auf die Musik von Helene Fischer.,,,
INTRANET_BEITRAG_15,You can draw a 56 km long line with a pencil.,Mit einem Bleistift kann man einen 56 km langen Strich zeichnen.,,,
